factor,subgroup,n_solutions,dRMST24_min,dRMST24_max,dRMST24_med,dS24_min,dS24_max,dS24_med,S24_ctrl_med,S24_trt_med,RMST24_ctrl_med,RMST24_trt_med,ISE_sum_med,tolerance,phase
Complete resection (CRF),No,112,-0.7727980173993174,-0.06086657635756865,-0.3126482439405276,-0.06863183445598475,-0.008424424910123518,-0.05070210947145504,0.8506836697373092,0.7999815602658542,23.129906827108748,22.816328369304614,0.06428904237423419,0.05,unblinded
Complete resection (CRF),Yes,112,-1.5774025058492125,-1.3908065781785872,-1.493369351969699,-0.06406475593704808,-0.0005331070332049727,-0.021487574380469346,0.035356478073431674,0.013868903692962325,13.025118030925793,11.54196147105975,0.06428904237423419,0.05,unblinded
Sex,Female,114,-0.6260224864333779,-0.025316222448036996,-0.11877030676240175,-0.05207925962415649,-0.0022339734406848777,-0.012888724517265804,0.9622026431819348,0.9493139186646691,23.655172293232177,23.536401986469777,0.0625198830491161,0.05,unblinded
Sex,Male,114,-1.3436406076540397,-1.2628519321510332,-1.3067500632126743,-0.07386583053230361,-0.022188805668465768,-0.0533905366172494,0.1432451573181739,0.08985462070092448,14.833740287293562,13.5172357528617,0.0625198830491161,0.05,unblinded
Baseline corticosteroid use,No,112,-0.8366215855719297,-0.29703400180457606,-0.48720875622642446,-0.09316480113785541,-0.07058833748005255,-0.08692578219904512,0.6448079102877542,0.557882128088709,22.284718958966522,21.79842156000518,0.060800004102371026,0.05,unblinded
Baseline corticosteroid use,Yes,112,-1.27972698552988,-0.6708572138741697,-0.8275510658070786,-0.02927871717939929,-1.5444844190757542e-13,-0.00017209008250496978,0.00020344519323037798,3.13551107254082e-05,6.774891564143142,5.964268770036735,0.060800004102371026,0.05,unblinded
Baseline performance status (Karnofsky scale),<=80,117,-1.694463760841554,-0.01197284844747415,-0.0850854164978081,-0.0396891922146575,-2.352924623384066e-09,-0.004948696921004925,0.9800758625174503,0.9724134874166331,23.779863591133193,23.694778174635385,0.06339360666330503,0.05,unblinded
Baseline performance status (Karnofsky scale),>80,117,-1.3657980310305131,-0.4339449317965709,-1.313675918708288,-0.07985005868446002,-0.05070989107205043,-0.06999916543147786,0.23956098255708344,0.1675985976298475,15.923133442014368,14.602666008813245,0.06339360666330503,0.05,unblinded
