factor,subgroup,blinded_dRMST24_med,blinded_dRMST24_range,blinded_envelope_width,unblinded_dRMST24_med,unblinded_dRMST24_range,unblinded_envelope_width,median_shift,width_change_pct
Complete resection (CRF),No,-0.3385038504168989,"[-0.773, -0.061]",0.7119314410417488,-0.3126482439405276,"[-0.773, -0.061]",0.7119314410417488,0.025855606476371307,0.0
Complete resection (CRF),Yes,-1.4951515193899176,"[-1.586, -1.391]",0.1955867760319272,-1.493369351969699,"[-1.577, -1.391]",0.18659592767062527,0.0017821674202185278,-4.596859022735911
Sex,Female,-0.1198496295246442,"[-0.725, -0.025]",0.6995448662300349,-0.11877030676240175,"[-0.626, -0.025]",0.6007062639853409,0.0010793227622424573,-14.128986862179671
Sex,Male,-1.3082829193997163,"[-1.357, -1.263]",0.0944451371233761,-1.3067500632126743,"[-1.344, -1.263]",0.0807886755030065,0.0015328561870420199,-14.459676841307157
Baseline corticosteroid use,No,-0.496218343588076,"[-0.949, -0.297]",0.6520047553061197,-0.48720875622642446,"[-0.837, -0.297]",0.5395875837673536,0.009009587361651528,-17.241771723886522
Baseline corticosteroid use,Yes,-0.8358947217143755,"[-1.332, -0.671]",0.6616242285588427,-0.8275510658070786,"[-1.280, -0.671]",0.6088697716557103,0.00834365590729691,-7.973477183271049
Baseline performance status (Karnofsky scale),<=80,-0.0866439686435907,"[-1.878, -0.012]",1.865739315884377,-0.0850854164978081,"[-1.694, -0.012]",1.6824909123940799,0.001558552145782599,-9.821758159361915
Baseline performance status (Karnofsky scale),>80,-1.313802398996175,"[-1.366, -0.434]",0.9318530992339422,-1.313675918708288,"[-1.366, -0.434]",0.9318530992339422,0.00012648028788686538,0.0
