factor,subgroup,n_solutions,dRMST24_min,dRMST24_max,dRMST24_med,dS24_min,dS24_max,dS24_med,S24_ctrl_med,S24_trt_med,RMST24_ctrl_med,RMST24_trt_med,ISE_sum_med
Complete resection (CRF),No,120,-0.7727980173993174,-0.06086657635756865,-0.3385038504168989,-0.06863183445598475,-0.008424424910123518,-0.05074589621582842,0.8505366030051147,0.7997907067892863,23.066526876656972,22.728023026240074,0.06456713921171825
Complete resection (CRF),Yes,120,-1.5863933542105144,-1.3908065781785872,-1.4951515193899176,-0.07110651609388736,-0.0005331070332049727,-0.02771861677563596,0.04853295516627023,0.02081433839063427,13.066942562621692,11.578959594822205,0.06456713921171825
Sex,Female,120,-0.7248610886780718,-0.025316222448036996,-0.11984962952464429,-0.059495329867256475,-0.0022339734406848777,-0.013163695789297658,0.9613737056381798,0.9482100098488822,23.65290413027439,23.533054500749746,0.06269460122225233
Sex,Male,120,-1.3572970692744093,-1.2628519321510332,-1.3082829193997165,-0.07483564173162993,-0.022188805668465768,-0.055037906685702416,0.1508389488390364,0.09580104215333399,14.830324780110281,13.512580391583015,0.06269460122225233
Baseline corticosteroid use,No,120,-0.9490387571106957,-0.29703400180457606,-0.49621834358807604,-0.09316480113785541,-0.07058833748005255,-0.0867596075460948,0.6459085603899078,0.559148952843813,22.263391011215546,21.768341587932056,0.061108816816395545
Baseline corticosteroid use,Yes,120,-1.3324814424330125,-0.6708572138741697,-0.8358947217143755,-0.03941515196507818,-1.5444844190757542e-13,-0.00021566912409965865,0.00025767638816368737,4.2007264064028706e-05,6.812717264506237,5.989996915298867,0.061108816816395545
Baseline performance status (Karnofsky scale),<=80,120,-1.877712164331851,-0.01197284844747415,-0.0866439686435907,-0.0396891922146575,-2.352924623384066e-09,-0.005006787892493592,0.9792670955564824,0.9712982709243101,23.775837614053973,23.689193645410384,0.06342166027755669
Baseline performance status (Karnofsky scale),>80,120,-1.3657980310305131,-0.4339449317965709,-1.3138023989961747,-0.07985005868446002,-0.05070989107205043,-0.07002829828976967,0.2419261092344102,0.16967028346790367,15.920178070671621,14.600361979843964,0.06342166027755669
