factor,subgroup,n_solutions,dRMST24_min,dRMST24_max,dRMST24_med,dS24_min,dS24_max,dS24_med,S24_ctrl_med,S24_trt_med,RMST24_ctrl_med,RMST24_trt_med,ISE_sum_med
Chromosome 1p/19q codeletion status,Codeleted,112,7.518070478808001,8.07157889364471,7.98652890612876,0.5786479011009678,0.6092607928157299,0.5951490149272506,0.20692206082212367,0.8020710757493743,13.904433084143676,21.877052086796088,0.0019058856459377516
Chromosome 1p/19q codeletion status,Non-codeleted,112,3.7238236172280743,4.293201501209737,3.9920976055873716,0.2950077031408589,0.325436000650924,0.316690851370737,0.43939333481469567,0.7560841861854326,17.301468760372607,21.293200932749667,0.0019058856459377516
Location of tumor at initial diagnosis,Frontal,120,4.628933183581793,5.058843152710818,4.789446928566669,0.3695567992116621,0.38109782987859003,0.37684139058004285,0.3764172930380264,0.7532586836180692,16.5090920515872,21.29828274349703,0.004009600654253396
Location of tumor at initial diagnosis,Nonfrontal,120,6.8710680975088145,7.242578702199841,7.016170322122086,0.49720154273125516,0.5175965406389937,0.5059443925926145,0.25480470590005094,0.7607490984926654,14.193125610308279,21.209705567950543,0.004009600654253396
Longest diameter of tumor at baseline,<2 cm,120,0.4617988971098086,1.8420955430619834,1.0313498506443128,0.05225595719928455,0.1385407277778853,0.08548035681093391,0.7373554938642367,0.8228358506751706,20.918937982050203,21.950287832694514,0.00378741909951885
Longest diameter of tumor at baseline,≥2 cm,120,6.330099902109648,6.9663534396474205,6.697551664599865,0.4754925928006775,0.507361152112515,0.4987655302166032,0.24636081132115695,0.7451263415377601,14.50162686305616,21.20156221816947,0.00378741909951885
No. of previous surgeries,1,120,4.548499799092827,4.948581092433912,4.702651946071926,0.3626652239395181,0.3734722379064209,0.36924346986084733,0.3770923728643081,0.7463358427251554,16.513474521729883,21.216354497611913,0.0046934952073161215
No. of previous surgeries,≥2,120,7.857717244802805,8.35425828732289,7.982899041510077,0.5486739624427038,0.5722520650939219,0.5575344198992952,0.20849854689106415,0.7660329667903594,13.218711145281679,21.20164795415246,0.0046934952073161215
