arm,month,survival
nivolumab,0.0,1.0
nivolumab,0.0,0.9355432780847146
nivolumab,0.020012128562765314,0.9355432780847146
nivolumab,0.04002425712553063,0.9355432780847146
nivolumab,0.06003638568829594,0.9355432780847146
nivolumab,0.08004851425106126,0.9355432780847146
nivolumab,0.10006064281382657,0.9355432780847146
nivolumab,0.12007277137659188,0.9355432780847146
nivolumab,0.1400848999393572,0.9355432780847146
nivolumab,0.1600970285021225,0.9355432780847146
nivolumab,0.1801091570648878,0.9355432780847146
nivolumab,0.20012128562765313,0.9355432780847146
nivolumab,0.22013341419041843,0.9355432780847146
nivolumab,0.24014554275318375,0.9355432780847146
nivolumab,0.260157671315949,0.9355432780847146
nivolumab,0.2801697998787144,0.9355432780847146
nivolumab,0.30018192844147973,0.9355432780847146
nivolumab,0.320194057004245,0.9355432780847146
nivolumab,0.3402061855670103,0.9355432780847146
nivolumab,0.3602183141297756,0.9355432780847146
nivolumab,0.38023044269254097,0.9355432780847146
nivolumab,0.40024257125530627,0.9355432780847146
nivolumab,0.42025469981807156,0.9355432780847146
nivolumab,0.44026682838083686,0.9355432780847146
nivolumab,0.4602789569436022,0.9355432780847146
nivolumab,0.4802910855063675,0.9355432780847146
nivolumab,0.5003032140691328,0.9355432780847146
nivolumab,0.520315342631898,0.9355432780847146
nivolumab,0.5403274711946635,0.9355432780847146
nivolumab,0.5603395997574288,0.9355432780847146
nivolumab,0.5803517283201941,0.9355432780847146
nivolumab,0.6003638568829595,0.9355432780847146
nivolumab,0.6203759854457247,0.9355432780847146
nivolumab,0.64038811400849,0.9355432780847146
nivolumab,0.6604002425712553,0.9355432780847146
nivolumab,0.6804123711340206,0.9355432780847146
nivolumab,0.700424499696786,0.9355432780847146
nivolumab,0.7204366282595512,0.9355432780847146
nivolumab,0.7404487568223166,0.9355432780847146
nivolumab,0.7604608853850819,0.9355432780847146
nivolumab,0.7804730139478472,0.9355432780847146
nivolumab,0.8004851425106125,0.9355432780847146
nivolumab,0.8204972710733778,0.9355432780847146
nivolumab,0.8405093996361431,0.9355432780847146
nivolumab,0.8605215281989085,0.9355432780847146
nivolumab,0.8805336567616737,0.9355432780847146
nivolumab,0.9005457853244391,0.9355432780847146
nivolumab,0.9205579138872044,0.9355432780847146
nivolumab,0.9405700424499697,0.9355432780847146
nivolumab,0.960582171012735,0.9355432780847146
nivolumab,0.9805942995755003,0.9355432780847146
nivolumab,1.0006064281382656,0.9355432780847146
nivolumab,1.0206185567010309,0.9355432780847146
nivolumab,1.040630685263796,0.9355432780847146
nivolumab,1.0606428138265613,0.9355432780847146
nivolumab,1.080654942389327,0.9355432780847146
nivolumab,1.1006670709520923,0.9355432780847146
nivolumab,1.1206791995148575,0.9355432780847146
nivolumab,1.140691328077623,0.9355432780847146
nivolumab,1.1607034566403882,0.9355432780847146
nivolumab,1.1807155852031535,0.9355432780847146
nivolumab,1.200727713765919,0.9355432780847146
nivolumab,1.2207398423286842,0.9355432780847146
nivolumab,1.2407519708914494,0.9355432780847146
nivolumab,1.2607640994542149,0.9355432780847146
nivolumab,1.28077622801698,0.9355432780847146
nivolumab,1.3007883565797453,0.9355432780847146
nivolumab,1.3208004851425106,0.9355432780847146
nivolumab,1.340812613705276,0.9355432780847146
