factor,subgroup,n_solutions,dRMST24_min,dRMST24_max,dRMST24_med,dS24_min,dS24_max,dS24_med,S24_ctrl_med,S24_trt_med,RMST24_ctrl_med,RMST24_trt_med,ISE_sum_med
Complete resection (CRF),No,120,-0.773,-0.061,-0.339,-0.069,-0.008,-0.051,0.851,0.800,23.067,22.728,0.065
Complete resection (CRF),Yes,120,-1.586,-1.391,-1.495,-0.071,-0.001,-0.028,0.049,0.021,13.067,11.579,0.065
Sex,Female,120,-0.725,-0.025,-0.120,-0.059,-0.002,-0.013,0.961,0.948,23.653,23.533,0.063
Sex,Male,120,-1.357,-1.263,-1.308,-0.075,-0.022,-0.055,0.151,0.096,14.830,13.513,0.063
Baseline corticosteroid use,No,120,-0.949,-0.297,-0.496,-0.093,-0.071,-0.087,0.646,0.559,22.263,21.768,0.061
Baseline corticosteroid use,Yes,120,-1.332,-0.671,-0.836,-0.039,-0.000,-0.000,0.000,0.000,6.813,5.990,0.061
Baseline performance status (Karnofsky scale),<=80,120,-1.878,-0.012,-0.087,-0.040,-0.000,-0.005,0.979,0.971,23.776,23.689,0.063
Baseline performance status (Karnofsky scale),>80,120,-1.366,-0.434,-1.314,-0.080,-0.051,-0.070,0.242,0.170,15.920,14.600,0.063
