arm,month,survival
placebo,0.0,1.0
placebo,3.3647798742138364,0.9933184855233853
placebo,3.3962264150943398,0.9866369710467706
placebo,3.4276729559748427,0.9866369710467706
placebo,3.459119496855346,0.977728285077951
placebo,3.490566037735849,0.9665924276169265
placebo,3.5220125786163523,0.9665924276169265
placebo,3.5534591194968552,0.9643652561247216
placebo,3.5849056603773586,0.9576837416481069
placebo,3.616352201257862,0.9576837416481069
placebo,3.647798742138365,0.955456570155902
placebo,3.6792452830188678,0.955456570155902
placebo,3.710691823899371,0.953229398663697
placebo,5.880503144654088,0.9487750556792873
placebo,5.911949685534591,0.9487750556792873
placebo,5.943396226415095,0.9487750556792873
placebo,6.0062893081761,0.9376391982182628
placebo,6.037735849056604,0.9354120267260579
placebo,6.069182389937107,0.9309576837416481
placebo,6.10062893081761,0.9175946547884187
placebo,6.132075471698114,0.9086859688195991
placebo,6.163522012578617,0.8908685968819599
placebo,6.19496855345912,0.8797327394209354
placebo,6.226415094339623,0.8752783964365256
placebo,6.2578616352201255,0.8708240534521158
placebo,6.289308176100628,0.8685968819599109
placebo,6.320754716981132,0.8596881959910914
placebo,6.352201257861635,0.8596881959910914
placebo,6.383647798742138,0.8596881959910914
placebo,6.415094339622642,0.8552338530066815
placebo,6.446540880503145,0.8552338530066815
placebo,6.477987421383648,0.8530066815144766
placebo,6.5094339622641515,0.8530066815144766
placebo,6.540880503144654,0.8530066815144766
placebo,6.572327044025156,0.8530066815144766
placebo,6.60377358490566,0.8530066815144766
placebo,6.635220125786163,0.8530066815144766
placebo,6.666666666666666,0.8530066815144766
placebo,6.69811320754717,0.8530066815144766
placebo,6.729559748427673,0.8530066815144766
placebo,6.761006289308176,0.8530066815144766
placebo,6.7924528301886795,0.8530066815144766
placebo,6.823899371069182,0.8530066815144766
placebo,6.855345911949685,0.8530066815144766
placebo,6.886792452830189,0.8530066815144766
placebo,6.918238993710692,0.8530066815144766
placebo,6.949685534591195,0.8530066815144766
placebo,6.981132075471698,0.8530066815144766
placebo,7.012578616352201,0.8530066815144766
placebo,7.044025157232705,0.8530066815144766
placebo,7.0754716981132075,0.8530066815144766
placebo,7.1069182389937104,0.8530066815144766
placebo,7.138364779874214,0.8530066815144766
placebo,7.169811320754717,0.8530066815144766
placebo,7.20125786163522,0.8530066815144766
placebo,7.232704402515724,0.8530066815144766
placebo,7.264150943396227,0.8530066815144766
placebo,7.29559748427673,0.8530066815144766
placebo,7.327044025157233,0.8530066815144766
placebo,7.3584905660377355,0.8530066815144766
placebo,7.3899371069182385,0.8530066815144766
placebo,7.421383647798742,0.8530066815144766
placebo,7.452830188679245,0.8530066815144766
placebo,7.484276729559748,0.8530066815144766
placebo,7.515723270440251,0.8530066815144766
placebo,7.547169811320755,0.8530066815144766
placebo,7.578616352201259,0.8530066815144766
placebo,7.610062893081761,0.8530066815144766
placebo,7.6415094339622645,0.8530066815144766
placebo,7.672955974842768,0.8530066815144766
placebo,7.70440251572327,0.8530066815144766
placebo,7.735849056603773,0.8530066815144766
placebo,7.767295597484277,0.8530066815144766
placebo,7.798742138364779,0.8530066815144766
placebo,7.830188679245283,0.8530066815144766
placebo,7.861635220125787,0.8530066815144766
placebo,7.893081761006289,0.8530066815144766
placebo,7.9245283018867925,0.8530066815144766
placebo,7.955974842767296,0.8530066815144766
placebo,7.987421383647798,0.8530066815144766
placebo,8.018867924528301,0.8530066815144766
placebo,8.050314465408805,0.8530066815144766
placebo,8.081761006289307,0.8530066815144766
placebo,8.11320754716981,0.8530066815144766
placebo,8.144654088050315,0.8530066815144766
placebo,8.176100628930817,0.8530066815144766
placebo,8.20754716981132,0.8530066815144766
placebo,8.238993710691824,0.8530066815144766
placebo,8.270440251572326,0.8530066815144766
placebo,8.30188679245283,0.8530066815144766
placebo,8.333333333333334,0.8530066815144766
placebo,8.364779874213836,0.8530066815144766
placebo,8.39622641509434,0.8530066815144766
placebo,8.427672955974844,0.8530066815144766
placebo,8.459119496855346,0.8530066815144766
placebo,8.49056603773585,0.8530066815144766
placebo,8.522012578616353,0.8530066815144766
placebo,8.553459119496855,0.8530066815144766
placebo,8.584905660377359,0.8530066815144766
